Seed,Subject,Accuracy,Kappa
42,1,0.6319444444444444,0.26388888888888884
42,2,0.5972222222222222,0.19444444444444442
42,3,0.7430555555555556,0.48611111111111116
42,4,0.5277777777777778,0.05555555555555558
42,5,0.5208333333333334,0.04166666666666663
42,6,0.6458333333333334,0.29166666666666663
42,7,0.5833333333333334,0.16666666666666663
42,8,0.7291666666666666,0.45833333333333337
42,9,0.8611111111111112,0.7222222222222222
123,1,0.6875,0.375
123,2,0.625,0.25
123,3,0.7222222222222222,0.4444444444444444
123,4,0.5694444444444444,0.13888888888888884
123,5,0.5347222222222222,0.06944444444444442
123,6,0.6666666666666666,0.33333333333333337
123,7,0.6041666666666666,0.20833333333333337
123,8,0.7430555555555556,0.48611111111111116
123,9,0.8402777777777778,0.6805555555555556
456,1,0.6388888888888888,0.2777777777777778
456,2,0.5625,0.125
456,3,0.8125,0.625
456,4,0.5555555555555556,0.11111111111111116
456,5,0.4791666666666667,-0.04166666666666674
456,6,0.6388888888888888,0.2777777777777778
456,7,0.5902777777777778,0.18055555555555558
456,8,0.75,0.5
456,9,0.7638888888888888,0.5277777777777778
